enrollment_no,subject_id,semester,attendance_percentage
25CE30348,CS102,2,87
23EC30437,CS302,6,80
24SH30263,EE201,3,94
23SH30335,CS301,5,85
22IT30102,CE401,7,58
23SH30532,ME302,6,92
24EE30157,ME202,4,74
24ME30489,CS202,4,66
23EC30018,CS301,5,81
23CE30292,CS301,5,69
25SH30414,CY101,1,90
24EE30175,EC201,3,55
24ME30310,MA201,3,44
22SH30437,CS402,8,95
23EC30510,IT301,5,66
25EC30575,EE101,1,43
22EC30447,CS402,8,71
22CE30026,ME402,8,64
24CE30173,CS202,4,74
23ME30366,IT301,5,91
23IT30016,CS301,5,46
24SH30129,IT201,3,63
25SH30462,MA101,1,64
23CE30292,CE301,5,82
25SH30414,MA101,1,40
25ME30386,CY101,1,50
22IT30536,CE401,7,42
22EE30142,CS402,8,42
23CE30452,CE302,6,96
25IT30026,CY101,1,77
24EE30304,ME202,4,58
24EC30541,CE202,4,84
23EE30547,ME302,6,43
23EE30422,IT301,5,59
25SH30489,CS102,2,40
24EC30379,MA201,3,68
22IT30338,EE401,7,78
23CE30349,CS301,5,50
25EE30003,CS102,2,63
22EE30006,CS401,7,79
23ME30541,IT301,5,54
22CE30574,EE401,7,86
24ME30142,IT201,3,69
24SH30342,EC201,3,81
23EC30018,EE301,5,65
23ME30214,IT302,6,76
25IT30448,CY101,1,98
24EE30260,EC201,3,56
22EE30006,ME401,7,99
23IT30016,IT301,5,97
25ME30086,HU101,1,56
22CE30353,IT402,8,47
25SH30462,HU101,1,41
25ME30146,MA101,1,66
23CE30292,IT301,5,96
24CE30560,EC201,3,76
24SH30477,IT201,3,99
24EE30318,IT202,4,82
25EE30189,EE101,1,94
25SH30007,HU102,2,76
22IT30338,CE401,7,42
24CE30117,IT202,4,96
25SH30421,PH101,1,51
25ME30481,CY101,1,64
24ME30546,IT202,4,83
24ME30006,MA201,3,97
23IT30489,CS301,5,83
25IT30391,CS102,2,66
24ME30142,MA201,3,56
24SH30263,EC201,3,95
23IT30016,EE301,5,80
22EC30447,CE402,8,47
24EE30240,ME202,4,88
25IT30448,PH101,1,72
24EE30304,IT202,4,99
24SH30421,IT201,3,50
22EE30411,CS401,7,86
23EE30313,EE301,5,40
23IT30489,EE301,5,40
22CE30530,CS401,7,87
25ME30337,ME102,2,47
22CE30296,ME402,8,83
25SH30101,MA101,1,90
22IT30338,ME401,7,79
23ME30541,EE301,5,82
25SH30421,EE101,1,85
22CE30296,CS402,8,47
22EE30566,CE401,7,94
24CE30560,EE201,3,98
24SH30421,EC201,3,58
24CE30379,ME202,4,89
22EC30091,CE401,7,83
22SH30437,CE402,8,55
23ME30141,IT301,5,73
25CE30210,MA102,2,71
25ME30481,PH101,1,41
23IT30593,CS301,5,98
25EE30541,MA102,2,49
25SH30007,CS102,2,66
24ME30546,CS202,4,94
24CE30560,MA201,3,89
24ME30036,IT202,4,47
22IT30102,ME401,7,93
24EE30318,CS202,4,66
25EE30003,ME102,2,95
23SH30335,ME301,5,56
23IT30593,IT301,5,88
22IT30536,IT401,7,68
24EC30541,IT202,4,93
24ME30489,CE202,4,90
24SH30129,MA201,3,66
25EE30003,HU102,2,94
24ME30502,IT202,4,65
22CE30530,IT401,7,54
22IT30536,CS401,7,81
24EE30157,CE202,4,46
25ME30086,CY101,1,54
24CE30117,ME202,4,67
22EC30091,IT401,7,78
25ME30489,CS102,2,61
23IT30489,ME301,5,44
24SH30564,IT201,3,84
23EE30547,IT302,6,82
25SH30101,CY101,1,54
24CE30477,IT201,3,56
24ME30502,CE202,4,91
25MCA30530,HU102,2,46
24EC30506,IT201,3,91
24ME30142,EC201,3,99
22EC30447,CS401,7,45
24ME30546,ME202,4,45
22ME30413,ME402,8,89
22CE30353,CS402,8,44
25SH30414,EE101,1,85
23EC30113,ME301,5,47
24CIVIL30485,IT201,3,91
23IT30489,CE301,5,69
25CE30400,CY101,1,97
25ME30337,CS102,2,45
23SH30335,CE301,5,63
23EE30531,IT301,5,65
23EC30235,CS301,5,56
24CE30379,CS202,4,74
25SH30007,MA102,2,80
22SH30418,ME402,8,88
24EE30572,EC202,4,84
24ME30006,EE201,3,52
24CE30379,IT202,4,43
25MCA30353,MA102,2,40
23ME30366,ME301,5,70
23SH30581,CE301,5,83
25SH30489,HU102,2,61
24SH30564,MA201,3,76
25EC30396,MA102,2,42
22EE30142,ME401,7,41
23EC30510,ME301,5,69
25CE30348,CI102,2,71
25EC30523,ME102,2,73
25ME30146,CY101,1,90
25IT30467,MA101,1,84
24SH30421,MA201,3,63
25ME30489,HU102,2,54
22IT30102,CS401,7,79
23EC30113,CS301,5,76
25EC30575,HU101,1,77
25EE30189,CY101,1,41
25ME30086,MA101,1,71
25EC30523,HU102,2,47
24CIVIL30083,CS202,4,71
25MCA30198,MA101,1,72
22EC30447,ME401,7,40
24SH30477,EC201,3,86
22SH30437,IT401,7,86
23SH30581,IT301,5,91
25ME30386,PH101,1,51
22IT30102,IT401,7,89
24CIVIL30083,ME202,4,83
25EC30396,HU102,2,59
25EC30575,CY101,1,78
23EE30531,ME301,5,44
25SH30489,CI102,2,77
24ME30546,CE202,4,53
23EE30313,CS301,5,56
24SH30263,MA201,3,70
23ME30141,ME301,5,60
24CE30117,CE202,4,99
24EE30157,IT202,4,58
25SH30101,PH101,1,64
24ME30489,IT202,4,47
25ME30481,MA101,1,82
25IT30467,CY101,1,59
22CE30026,CS401,7,99
22CE30353,ME401,7,78
22IT30536,ME401,7,62
22EE30142,IT401,7,55
23ME30391,IT302,6,82
24CE30477,EC201,3,75
25ME30086,PH101,1,90
24EE30240,CE202,4,76
23SH30581,EE301,5,83
23EE30422,ME301,5,85
22ME30413,CE401,7,74
25EC30417,MA102,2,70
22EC30017,ME401,7,43
25ME30489,ME102,2,75
25IT30391,HU102,2,99
22CE30296,IT401,7,59
25EC30523,CS102,2,92
24MBA30402,IT202,4,93
24ME30142,EE201,3,63
23ME30366,CE301,5,48
25CE30210,CI102,2,40
23SH30532,IT302,6,91
24EC30299,ME202,4,93
25MCA30198,PH101,1,72
25CE30400,PH101,1,61
23EE30547,ME302,6,74
24EE30572,CS202,4,73
25ME30386,HU101,1,94
24IT30443,MA201,3,99
25MCA30198,CY101,1,41
22EC30447,EE401,7,61
24EC30506,MA201,3,81
24EE30260,MA201,3,76
25SH30414,PH101,1,68
24CIVIL30083,CE202,4,66
25CE30400,MA101,1,74
24CE30477,EE201,3,51
23IT30016,ME301,5,44
24ME30310,EC201,3,81
25EE30189,PH101,1,85
24EE30260,EE201,3,94
24CIVIL30485,EC201,3,67
22EE30142,CE401,7,79
23EC30510,CE301,5,61
22ME30413,IT401,7,55
23IT30593,ME301,5,83
25CE30348,MA102,2,42
22CE30026,IT401,7,77
24MBA30470,EC201,3,75
24SH30129,EE201,3,69
24EE30240,CS202,4,47
25ME30146,PH101,1,60
22ME30060,CS402,8,83
24MBA30402,ME202,4,69
25EC30375,MA102,2,91
24EC30299,CE202,4,58
23EC30437,CE302,6,81
22SH30562,IT401,7,71
25EC30396,CI102,2,71
23SH30335,EE301,5,48
25EC30375,CI102,2,63
24MBA30402,CS202,4,84
23SH30102,EE301,5,91
22CE30296,CS401,7,77
22IT30323,CS401,7,69
25MCA30353,HU102,2,93
23EE30422,CE301,5,65
23EC30235,ME301,5,54
24EC30467,CS202,4,45
23EC30510,EE301,5,70
24SH30342,IT201,3,99
24EC30299,CS202,4,93
25EC30375,HU102,2,54
24ME30310,IT201,3,77
22ME30060,ME402,8,91
24SH30342,MA201,3,93
24ME30036,ME202,4,66
23SH30532,CS302,6,54
24EC30379,EC201,3,86
24CIVIL30079,EC201,3,67
22EC30017,CS401,7,99
22SH30418,CS402,8,71
23ME30366,EE301,5,84
25ME30337,HU102,2,40
24ME30036,CE202,4,97
25MCA30353,CI102,2,80
24EC30379,IT201,3,78
25MCA30530,CI102,2,46
25SH30421,CY101,1,41
23ME30391,CE302,6,71
22SH30562,CE401,7,69
22EC30017,EE401,7,54
25SH30489,HU101,1,90
24EC30467,IT202,4,47
23EC30113,CE301,5,67
24ME30006,EC201,3,80
22ME30060,IT402,8,64
24EC30467,CE202,4,60
25IT30467,PH101,1,60
22SH30054,CS401,7,43
25ME30386,MA101,1,48
22CE30530,ME401,7,90
22EC30017,IT401,7,65
23SH30532,ME302,6,74
24CIVIL30485,EE201,3,63
22EC30091,CS401,7,78
25CIVIL30318,EE101,1,42
22CE30574,CS401,7,78
25CIVIL30318,MA101,1,88
24EE30572,ME202,4,50
25CIVIL30519,EE101,1,85
22SH30562,CS401,7,69
25EC30396,ME102,2,63
25CIVIL30318,PH101,1,96
25CIVIL30519,CY101,1,86
24MBA30470,MA201,3,91
24MBA30470,IT201,3,63
25CIVIL30519,MA101,1,49
25SH30007,ME102,2,54
